genre,total_reviews,total_num,avg_rate,number of rated 0.5,number of rated 1.0,number of rated 1.5,number of rated 2.0,number of rated 2.5,number of rated 3.0,number of rated 3.5,number of rated 4.0,number of rated 4.5,number of rated 5.0,0~0.5,0.5~1.0,1.0~1.5,1.5~2.0,2.0~2.5,2.5~3.0,3.0~3.5,3.5~4.0,4.0~4.5,4.5~5.0
Action,7406882,2128,3.4694712970991026,123608,246061,139470,531096,423904,1509273,977820,1856062,626869,972719,0,0,3,41,175,542,845,478,44,0
Adventure,5809705,1455,3.5195201821779247,96757,177545,101614,384633,314361,1139235,758102,1488417,512148,836893,0,0,6,25,100,304,575,400,45,0
Animation,1609698,686,3.621154092258299,26881,38206,22264,80086,78234,287629,224010,438483,164428,249477,0,0,3,6,25,89,266,259,38,0
Children,2107416,797,3.4357737152987355,42249,82134,39476,151764,114938,447827,261205,530149,158811,278863,0,0,5,28,79,182,325,161,17,0
Comedy,8828997,4615,3.428009942692245,159842,332642,165521,673679,494264,1876704,1107315,2250580,656515,1111935,0,1,6,83,359,1080,1730,1257,99,0
Crime,4159016,1566,3.6894146355772617,45793,91890,50135,213202,174837,719955,528608,1165691,452866,716039,0,0,1,12,48,272,606,557,70,0
Documentary,288219,674,3.7425013618116783,6322,5741,2526,9648,9710,39730,41855,88442,36555,47690,0,0,5,3,4,15,158,445,44,0
Drama,10806423,6288,3.6844613152751835,113396,230061,120390,553141,442125,1929780,1369036,3131794,1109466,1807234,0,0,1,15,116,672,2436,2826,222,0
Fantasy,2815091,887,3.5145226211159777,52343,90030,52513,188285,156833,531650,368487,700205,258244,416501,0,0,3,15,66,170,338,269,26,0
Film-Noir,244011,132,3.9347324505862438,1814,2946,1430,7506,5917,31642,26809,78885,30584,56478,0,0,0,0,0,5,28,80,19,0
Horror,1854507,1423,3.3065995437062248,46212,93707,42896,165639,118129,379968,240286,428882,132037,206751,0,0,10,57,213,449,514,174,6,0
IMAX,1062704,169,3.603936279528448,20821,22842,20295,52601,65456,165281,167881,261596,124170,161761,0,0,0,1,3,42,71,49,3,0
Musical,956914,473,3.5581149403185663,14697,28575,13270,59568,42482,200413,111301,264422,71540,150646,0,0,2,4,11,65,203,181,7,0
Mystery,1993351,795,3.67593589889588,22914,43443,24756,104332,86363,337124,264391,565208,221695,323125,0,0,0,5,29,139,303,273,46,0
Romance,4452519,2087,3.546773859920642,63214,127185,67217,290058,217791,913672,535792,1215707,361328,660555,0,0,3,12,58,332,822,793,67,0
Sci-Fi,4304450,1155,3.4817961644344813,73120,148368,81516,314459,244624,829767,568799,1067597,383896,592304,0,0,4,29,111,307,430,251,23,0
Thriller,6713056,2561,3.5275111663004157,91864,191651,107178,440918,348998,1360304,882979,1792244,594431,902489,0,0,0,18,160,597,1078,648,60,0
War,1255218,538,3.796959571962799,12369,23534,12286,53708,44181,193684,147129,368483,138319,261525,0,0,0,3,10,42,164,269,50,0
Western,477485,265,3.592515995266867,4954,12908,5733,29762,19477,101052,54160,136748,39983,72708,0,0,0,0,5,38,118,97,7,0
Others,11663,38,3.610348966818143,283,257,235,545,738,1605,1967,2637,1612,1784,0,0,0,1,0,2,12,16,7,0
